iter	Passed	Remaining
0	0	728
1	1	500
2	1	440
3	1	405
4	2	441
5	2	464
6	3	434
7	3	411
8	3	395
9	3	383
10	4	369
11	4	355
12	4	345
13	4	335
14	5	328
15	5	322
16	5	315
17	5	310
18	5	305
19	6	300
20	6	297
21	6	294
22	6	293
23	7	291
24	7	293
25	7	292
26	8	305
27	8	308
28	9	307
29	9	307
30	9	304
31	9	301
32	10	299
33	10	296
34	10	295
35	11	294
36	11	311
37	12	310
38	14	357
39	14	354
40	15	351
41	15	349
42	15	347
43	15	344
44	16	341
45	16	337
46	16	334
47	16	333
48	17	332
49	17	331
50	17	331
51	18	331
52	18	329
53	18	329
54	19	328
55	19	327
56	19	325
57	19	323
58	20	322
59	20	321
60	20	320
61	21	318
62	21	318
63	21	318
64	21	316
65	22	315
66	22	314
67	22	313
68	23	313
69	23	314
70	23	313
71	24	312
72	24	311
73	24	310
74	25	309
75	26	316
76	26	315
77	26	317
78	27	316
79	27	315
80	27	314
81	27	312
82	27	308
83	28	307
84	28	306
85	28	306
86	29	306
87	29	305
88	29	305
89	30	303
90	30	302
91	30	301
92	30	301
93	31	300
94	31	301
95	31	301
96	32	300
97	32	299
98	32	299
99	33	298
100	33	298
101	33	297
102	34	296
103	34	295
104	34	295
105	34	294
106	35	293
107	35	292
108	35	291
109	35	291
110	36	290
111	36	289
112	36	289
113	37	289
114	37	288
115	37	287
116	37	286
117	38	285
118	38	285
119	38	285
120	39	285
121	39	284
122	39	283
123	40	283
124	40	282
125	40	281
126	40	279
127	40	278
128	41	278
129	41	279
130	42	278
131	42	278
132	42	278
133	42	277
134	43	276
135	43	275
136	43	274
137	43	273
138	44	272
139	44	271
140	44	270
141	44	269
142	44	268
143	45	267
144	45	267
145	45	266
146	46	267
147	46	266
148	46	265
149	46	265
150	47	265
151	47	264
152	47	264
153	48	263
154	48	263
155	48	262
156	49	263
157	49	262
158	49	263
159	50	262
160	50	261
161	50	260
162	50	261
163	51	261
164	51	260
165	51	260
166	52	261
167	52	260
168	52	259
169	53	258
170	53	258
171	53	257
172	53	256
173	53	256
174	54	255
175	54	254
176	54	253
177	54	253
178	55	252
179	55	252
180	55	251
181	55	250
182	55	249
183	56	250
184	57	251
185	57	250
186	57	250
187	57	249
188	58	249
189	58	249
190	58	248
191	58	248
192	59	247
193	59	247
194	59	246
195	59	245
196	60	245
197	60	244
198	60	243
199	60	243
200	61	242
201	61	241
202	61	241
203	61	241
204	62	240
205	62	240
206	62	239
207	62	239
208	63	238
209	63	238
210	63	237
211	63	237
212	64	236
213	64	236
214	64	235
215	64	234
216	64	234
217	65	233
218	65	233
219	65	232
220	66	232
221	66	232
222	66	232
223	66	231
224	67	231
225	67	230
226	67	229
227	67	229
228	68	229
229	68	228
230	68	228
231	68	227
232	69	227
233	69	226
234	69	226
235	69	225
236	69	225
237	70	224
238	70	224
239	70	223
240	71	224
241	71	224
242	72	224
243	72	225
244	73	225
245	73	225
246	74	226
247	74	226
248	74	226
249	75	226
250	76	227
251	76	226
252	76	226
253	76	225
254	77	225
255	77	224
256	77	224
257	77	224
258	78	223
259	78	223
260	78	222
261	78	222
262	79	221
263	79	221
264	79	220
265	79	219
266	79	219
267	80	218
268	80	218
269	80	218
270	80	217
271	81	217
272	81	216
273	81	216
274	81	215
275	82	215
276	82	214
277	82	214
278	82	213
279	82	213
280	83	212
281	83	212
282	83	211
283	83	211
284	84	210
285	84	210
286	84	209
287	84	209
288	84	209
289	85	208
290	85	208
291	85	207
292	86	207
293	86	207
294	86	206
295	86	206
296	86	205
297	87	205
298	87	204
299	87	204
300	87	203
301	87	203
302	88	202
303	88	202
304	88	201
305	88	201
306	89	200
307	89	200
308	89	199
309	89	199
310	89	199
311	90	198
312	90	197
313	90	197
314	90	197
315	90	196
316	90	196
317	91	195
318	91	195
319	91	194
320	91	194
321	91	193
322	92	193
323	92	192
324	92	192
325	92	191
326	93	191
327	93	191
328	93	190
329	93	190
330	94	190
331	94	189
332	94	189
333	94	188
334	94	188
335	95	187
336	95	187
337	95	187
338	95	186
339	95	186
340	96	185
341	96	185
342	96	184
343	96	184
344	96	184
345	97	183
346	97	183
347	97	182
348	97	182
349	97	181
350	98	181
351	98	180
352	98	180
353	98	179
354	98	179
355	99	179
356	99	178
357	99	178
358	99	177
359	99	177
360	100	177
361	100	176
362	100	176
363	100	175
364	100	175
365	101	175
366	101	174
367	101	174
368	101	173
369	101	173
370	102	173
371	102	172
372	102	172
373	102	171
374	102	171
375	103	171
376	103	170
377	103	170
378	103	169
379	103	169
380	104	169
381	104	168
382	104	168
383	104	167
384	104	167
385	105	167
386	105	166
387	105	166
388	105	166
389	105	165
390	106	165
391	106	164
392	106	164
393	106	164
394	106	163
395	107	163
396	107	163
397	107	162
398	107	162
399	107	161
400	108	161
401	108	161
402	108	160
403	108	160
404	109	160
405	109	159
406	109	159
407	109	159
408	110	159
409	110	158
410	110	158
411	110	157
412	110	157
413	111	157
414	111	156
415	111	156
416	111	156
417	111	155
418	112	155
419	112	155
420	112	154
421	112	154
422	112	153
423	113	153
424	113	153
425	113	152
426	113	152
427	113	152
428	114	151
429	114	151
430	114	151
431	114	150
432	114	150
433	115	150
434	115	149
435	115	149
436	115	148
437	115	148
438	116	148
439	116	148
440	116	147
441	116	147
442	117	147
443	117	146
444	117	146
445	117	146
446	117	145
447	118	145
448	118	145
